y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65,y_66,x_66,y_67,x_67,y_68,x_68,y_69,x_69,y_70,x_70,y_71,x_71,y_72,x_72,y_73,x_73,y_74,x_74,y_75,x_75,y_76,x_76
39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,38,16,37,16,37,15,36,15,35,15,34,15,33,15,32,15,31,15,30,15,29,15,28,15,27,15,26,15,25,15,24,15,23,15,22,15,21,15,20,15,19,15,18,15,17,15,16,15,15,15,14,15,13,15,13,16,13,17,12,17,12,18,11,18,10,18,9,18,9,19,9,20,8,20,8,21,7,21,6,21,6,22,6,23,5,23,4,23,3,23,3,24,3,25,3,26,2,26,2,27,2,28,1,28,0,28
39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,38,16,37,16,36,16,35,16,34,16,34,17,33,17,32,17,31,17,30,17,29,17,28,17,27,17,26,17,26,18,25,18,24,18,23,18,23,19,23,20,22,20,21,20,21,21,21,22,20,22,19,22,18,22,17,22,17,23,17,24,16,24,16,25,16,26,16,27,15,27,14,27,13,27,12,27,11,27,10,27,9,27,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,38,16,37,16,36,16,35,16,34,16,33,16,33,17,32,17,31,17,30,17,30,18,30,19,29,19,28,19,28,20,28,21,28,22,28,23,28,24,28,25,27,25,26,25,25,25,25,26,25,27,25,28,24,28,24,29,23,29,23,30,22,30,21,30,21,31,20,31,20,32,19,32,19,33,18,33,17,33,16,33,15,33,14,33,13,33,12,33,11,33,11,32,10,32,10,31,9,31,9,30,8,30,7,30,6,30,5,30,5,29,4,29,3,29,2,29,1,29,1,28,0,28
39,16,39,16,39,16,39,16,39,16,39,16,38,16,37,16,36,16,36,15,35,15,34,15,33,15,33,14,33,13,33,12,33,11,32,11,31,11,30,11,30,10,29,10,29,9,29,8,28,8,28,7,27,7,27,6,26,6,25,6,24,6,23,6,23,7,22,7,21,7,20,7,19,7,19,8,19,9,19,10,19,11,18,11,18,12,17,12,17,13,17,14,16,14,16,15,16,16,15,16,14,16,13,16,12,16,11,16,11,17,11,18,11,19,11,20,10,20,10,21,9,21,8,21,8,22,8,23,7,23,6,23,5,23,4,23,3,23,3,24,3,25,3,26,3,27,2,27,1,27,1,28,0,28
39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,38,16,38,17,37,17,37,18,36,18,35,18,34,18,34,19,33,19,32,19,31,19,31,20,30,20,30,21,29,21,28,21,28,22,28,23,27,23,27,24,26,24,25,24,24,24,23,24,22,24,21,24,21,25,21,26,20,26,19,26,18,26,17,26,16,26,15,26,15,27,14,27,13,27,12,27,11,27,10,27,9,27,8,27,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,38,16,37,16,37,17,36,17,35,17,34,17,33,17,32,17,31,17,30,17,29,17,28,17,27,17,26,17,26,18,25,18,24,18,23,18,22,18,21,18,20,18,19,18,19,19,19,20,19,21,19,22,18,22,17,22,16,22,15,22,15,23,15,24,15,25,15,26,15,27,15,28,15,29,15,30,14,30,14,29,13,29,12,29,11,29,10,29,9,29,8,29,7,29,6,29,5,29,4,29,3,29,2,29,1,29,1,28,0,28
39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,38,16,37,16,36,16,35,16,35,15,34,15,33,15,32,15,31,15,30,15,29,15,28,15,27,15,26,15,25,15,25,14,25,13,24,13,23,13,23,12,23,11,22,11,22,10,21,10,20,10,20,9,19,9,18,9,17,9,17,8,16,8,16,7,15,7,14,7,14,8,14,9,14,10,14,11,13,11,12,11,12,12,12,13,12,14,12,15,12,16,11,16,10,16,10,17,10,18,10,19,10,20,10,21,10,22,9,22,8,22,8,23,8,24,8,25,8,26,7,26,7,27,6,27,5,27,4,27,3,27,2,27,2,28,1,28,0,28
39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,38,16,37,16,36,16,35,16,35,17,35,18,34,18,34,19,33,19,32,19,31,19,30,19,29,19,28,19,27,19,27,20,26,20,26,21,26,22,26,23,25,23,24,23,24,24,23,24,22,24,21,24,21,25,20,25,19,25,18,25,17,25,17,26,16,26,15,26,15,27,14,27,13,27,12,27,11,27,10,27,9,27,8,27,7,27,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,38,16,37,16,36,16,35,16,35,17,34,17,34,18,33,18,32,18,31,18,31,19,30,19,29,19,28,19,27,19,26,19,25,19,24,19,23,19,22,19,21,19,20,19,19,19,19,20,18,20,17,20,17,21,17,22,16,22,15,22,14,22,14,23,14,24,13,24,12,24,11,24,11,25,10,25,10,26,9,26,8,26,7,26,7,27,6,27,5,27,4,27,4,28,3,28,2,28,1,28,0,28
39,16,39,16,39,16,39,16,38,16,37,16,36,16,36,15,35,15,35,14,35,13,34,13,33,13,33,12,33,11,32,11,31,11,30,11,30,10,30,9,30,8,30,7,30,6,29,6,29,5,28,5,28,6,28,7,28,8,28,9,27,9,27,10,27,11,27,12,27,13,26,13,25,13,24,13,23,13,23,14,22,14,21,14,20,14,20,15,19,15,19,16,18,16,18,17,18,18,18,19,18,20,18,21,17,21,17,22,16,22,15,22,15,23,14,23,13,23,12,23,11,23,10,23,10,24,9,24,8,24,7,24,7,25,6,25,6,26,5,26,4,26,4,27,4,28,3,28,2,28,1,28,0,28
