deviation_factor,midpoint
1.22,"(29, 23)"
1.22,"(29, 39)"
1.22,"(30, 23)"
1.22,"(30, 39)"
1.22,"(31, 23)"
1.22,"(31, 39)"
1.27,"(9, 22)"
1.27,"(10, 22)"
1.27,"(11, 22)"
1.27,"(12, 22)"
1.27,"(13, 22)"
1.27,"(14, 22)"
1.27,"(15, 22)"
1.27,"(16, 22)"
1.27,"(17, 22)"
1.27,"(18, 22)"
1.27,"(19, 22)"
1.27,"(20, 22)"
1.27,"(21, 22)"
1.27,"(22, 22)"
1.27,"(23, 22)"
1.27,"(24, 22)"
1.27,"(25, 22)"
1.27,"(26, 22)"
1.27,"(27, 22)"
1.27,"(28, 22)"
1.27,"(29, 22)"
1.27,"(30, 22)"
1.27,"(31, 22)"
1.31,"(9, 21)"
1.31,"(10, 21)"
1.31,"(11, 21)"
1.31,"(12, 21)"
1.31,"(13, 21)"
1.31,"(14, 21)"
1.31,"(15, 21)"
1.31,"(16, 21)"
1.31,"(17, 21)"
1.31,"(18, 21)"
1.31,"(19, 21)"
1.31,"(20, 21)"
1.31,"(21, 21)"
1.31,"(22, 21)"
1.31,"(23, 21)"
1.31,"(24, 21)"
1.31,"(25, 21)"
1.31,"(26, 21)"
1.31,"(27, 21)"
1.31,"(28, 21)"
1.31,"(29, 21)"
1.31,"(30, 21)"
1.31,"(31, 21)"
1.36,"(9, 20)"
1.36,"(10, 20)"
1.36,"(11, 20)"
1.36,"(12, 20)"
1.36,"(13, 20)"
1.36,"(14, 20)"
1.36,"(15, 20)"
1.36,"(16, 20)"
1.36,"(17, 20)"
1.36,"(18, 20)"
1.36,"(19, 20)"
1.36,"(20, 20)"
1.36,"(21, 20)"
1.36,"(22, 20)"
1.36,"(23, 20)"
1.36,"(24, 20)"
1.36,"(25, 20)"
1.36,"(26, 20)"
1.36,"(27, 20)"
1.36,"(28, 20)"
1.36,"(29, 20)"
1.36,"(30, 20)"
1.36,"(31, 20)"
1.4,"(9, 19)"
1.4,"(10, 19)"
1.4,"(11, 19)"
1.4,"(12, 19)"
1.4,"(13, 19)"
1.4,"(14, 19)"
1.4,"(15, 19)"
1.4,"(16, 19)"
1.4,"(17, 19)"
1.4,"(18, 19)"
1.4,"(19, 19)"
1.4,"(20, 19)"
1.4,"(21, 19)"
1.4,"(22, 19)"
1.4,"(23, 19)"
1.4,"(24, 19)"
1.4,"(25, 19)"
1.4,"(26, 19)"
1.4,"(27, 19)"
1.4,"(28, 19)"
1.4,"(29, 19)"
1.4,"(30, 19)"
1.4,"(31, 19)"
1.44,"(9, 18)"
1.44,"(10, 18)"
1.44,"(11, 18)"
1.44,"(12, 18)"
1.44,"(13, 18)"
1.44,"(14, 18)"
1.44,"(15, 18)"
1.44,"(16, 18)"
1.44,"(17, 18)"
1.44,"(18, 18)"
1.44,"(19, 18)"
1.44,"(20, 18)"
1.44,"(21, 18)"
1.44,"(22, 18)"
1.44,"(23, 18)"
1.44,"(24, 18)"
1.44,"(25, 18)"
1.44,"(26, 18)"
1.44,"(27, 18)"
1.44,"(28, 18)"
1.44,"(29, 18)"
1.44,"(30, 18)"
1.44,"(31, 18)"
1.49,"(9, 17)"
1.49,"(10, 17)"
1.49,"(11, 17)"
1.49,"(12, 17)"
1.49,"(13, 17)"
1.49,"(14, 17)"
1.49,"(15, 17)"
1.49,"(16, 17)"
1.49,"(17, 17)"
1.49,"(18, 17)"
1.49,"(19, 17)"
1.49,"(20, 17)"
1.49,"(21, 17)"
1.49,"(22, 17)"
1.49,"(23, 17)"
1.49,"(24, 17)"
1.49,"(25, 17)"
1.49,"(26, 17)"
1.49,"(27, 17)"
1.49,"(28, 17)"
1.49,"(29, 17)"
1.49,"(30, 17)"
1.49,"(31, 17)"
1.53,"(9, 16)"
1.53,"(10, 16)"
1.53,"(11, 16)"
1.53,"(12, 16)"
1.53,"(13, 16)"
1.53,"(14, 16)"
1.53,"(15, 16)"
1.53,"(16, 16)"
1.53,"(17, 16)"
1.53,"(18, 16)"
1.53,"(19, 16)"
1.53,"(20, 16)"
1.53,"(21, 16)"
1.53,"(22, 16)"
1.53,"(23, 16)"
1.53,"(24, 16)"
1.53,"(25, 16)"
1.53,"(26, 16)"
1.53,"(27, 16)"
1.53,"(28, 16)"
1.53,"(29, 16)"
1.53,"(30, 16)"
1.53,"(31, 16)"
1.58,"(9, 15)"
1.58,"(10, 15)"
1.58,"(11, 15)"
1.58,"(12, 15)"
1.58,"(13, 15)"
1.58,"(14, 15)"
1.58,"(15, 15)"
1.58,"(16, 15)"
1.58,"(17, 15)"
1.58,"(18, 15)"
1.58,"(19, 15)"
1.58,"(20, 15)"
1.58,"(21, 15)"
1.58,"(22, 15)"
1.58,"(23, 15)"
1.58,"(24, 15)"
1.58,"(25, 15)"
1.58,"(26, 15)"
1.58,"(27, 15)"
1.58,"(28, 15)"
1.58,"(29, 15)"
1.58,"(30, 15)"
1.58,"(31, 15)"
1.62,"(9, 14)"
1.62,"(10, 14)"
1.62,"(11, 14)"
1.62,"(12, 14)"
1.62,"(13, 14)"
1.62,"(14, 14)"
1.62,"(15, 14)"
1.62,"(16, 14)"
1.62,"(17, 14)"
1.62,"(18, 14)"
1.62,"(19, 14)"
1.62,"(20, 14)"
1.62,"(21, 14)"
1.62,"(22, 14)"
1.62,"(23, 14)"
1.62,"(24, 14)"
1.62,"(25, 14)"
1.62,"(26, 14)"
1.62,"(27, 14)"
1.62,"(28, 14)"
1.62,"(29, 14)"
