y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65,y_66,x_66,y_67,x_67,y_68,x_68,y_69,x_69
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,35,8,34,8,33,8,33,9,32,9,32,10,32,11,31,11,30,11,29,11,28,11,27,11,26,11,25,11,25,12,24,12,24,13,24,14,23,14,22,14,22,15,22,16,21,16,20,16,19,16,18,16,17,16,16,16,15,16,14,16,13,16,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,35,8,34,8,33,8,33,7,32,7,31,7,30,7,29,7,29,6,28,6,27,6,26,6,26,5,26,4,26,3,25,3,25,2,24,2,24,1,23,1,22,1,21,1,21,0,21,1,20,1,20,2,19,2,19,3,19,4,19,5,18,5,18,6,18,7,18,8,17,8,17,9,17,10,17,11,17,12,17,13,16,13,15,13,14,13,13,13,12,13,11,13,11,14,10,14,9,14,9,15,8,15,7,15,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,35,8,34,8,33,8,32,8,31,8,30,8,29,8,28,8,27,8,27,9,27,10,26,10,26,11,25,11,24,11,23,11,22,11,21,11,20,11,20,12,20,13,20,14,19,14,18,14,18,15,17,15,17,16,16,16,15,16,14,16,14,17,14,18,14,19,13,19,13,20,13,21,12,21,11,21,10,21,10,22,10,21,9,21,8,21,8,20,7,20,6,20,6,19,5,19,4,19,4,18,3,18,3,17,3,16,2,16,1,16,0,16
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,36,9,36,10,35,10,35,11,35,12,34,12,33,12,33,13,33,14,33,15,32,15,32,16,31,16,31,17,31,18,30,18,30,19,29,19,29,20,29,21,29,22,29,23,28,23,27,23,26,23,25,23,24,23,24,22,24,21,23,21,22,21,21,21,21,20,21,19,20,19,19,19,18,19,17,19,16,19,15,19,14,19,13,19,12,19,11,19,10,19,10,18,9,18,8,18,7,18,7,17,6,17,5,17,4,17,4,16,3,16,2,16,1,16,0,16
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,37,9,36,9,35,9,34,9,34,10,34,11,33,11,32,11,32,12,32,13,32,14,31,14,31,15,31,16,31,17,30,17,29,17,29,16,28,16,27,16,26,16,25,16,24,16,23,16,22,16,21,16,20,16,19,16,18,16,17,16,16,16,15,16,14,16,13,16,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,37,9,36,9,35,9,34,9,33,9,32,9,31,9,31,10,31,11,31,12,30,12,30,13,30,14,30,15,30,16,29,16,28,16,27,16,26,16,25,16,24,16,23,16,22,16,21,16,20,16,19,16,18,16,17,16,16,16,15,16,14,16,13,16,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,35,8,35,9,35,10,34,10,33,10,33,11,32,11,31,11,30,11,30,12,29,12,29,13,29,14,28,14,27,14,26,14,25,14,24,14,24,15,24,16,23,16,23,17,23,18,22,18,21,18,20,18,19,18,19,19,19,20,18,20,18,21,17,21,16,21,15,21,15,22,14,22,13,22,12,22,12,23,11,23,11,22,11,21,11,20,10,20,10,19,9,19,9,18,8,18,8,17,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,38,9,37,9,36,9,36,10,35,10,34,10,33,10,32,10,31,10,30,10,30,11,29,11,29,12,28,12,27,12,26,12,26,13,25,13,24,13,23,13,22,13,21,13,21,14,20,14,19,14,19,15,19,16,18,16,17,16,16,16,15,16,14,16,14,17,14,18,13,18,12,18,11,18,10,18,10,19,10,20,10,21,10,22,10,21,9,21,9,20,8,20,8,19,7,19,6,19,5,19,4,19,4,18,3,18,2,18,1,18,1,17,1,16,0,16
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,35,8,34,8,33,8,32,8,31,8,30,8,29,8,28,8,27,8,26,8,25,8,24,8,24,7,24,6,24,5,23,5,22,5,22,4,21,4,20,4,19,4,18,4,17,4,17,3,16,3,16,2,16,1,15,1,15,2,15,3,15,4,14,4,13,4,12,4,12,5,12,6,11,6,10,6,9,6,9,7,8,7,8,8,8,9,8,10,7,10,7,11,7,12,6,12,6,13,6,14,5,14,4,14,3,14,2,14,2,15,1,15,1,16,0,16
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,35,8,34,8,33,8,32,8,31,8,30,8,29,8,28,8,27,8,26,8,25,8,24,8,23,8,22,8,21,8,20,8,20,9,20,10,20,11,20,12,19,12,18,12,17,12,16,12,15,12,14,12,13,12,12,12,11,12,10,12,9,12,9,13,8,13,7,13,6,13,6,14,5,14,5,15,4,15,3,15,3,16,2,16,1,16,0,16
39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,36,7,36,6,35,6,34,6,33,6,32,6,31,6,30,6,30,5,29,5,28,5,27,5,26,5,26,4,25,4,25,3,24,3,23,3,22,3,21,3,21,2,20,2,19,2,19,1,19,0,18,0,17,0,16,0,15,0,14,0,13,0,12,0,12,1,12,2,12,3,12,4,12,5,12,6,12,7,11,7,11,8,11,9,11,10,10,10,9,10,9,11,9,12,8,12,8,13,7,13,7,14,7,15,6,15,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,38,9,38,10,38,11,38,12,38,13,38,14,37,14,37,15,36,15,35,15,34,15,33,15,32,15,31,15,31,16,30,16,30,17,30,18,29,18,28,18,28,19,28,20,28,21,27,21,26,21,25,21,25,22,24,22,24,23,23,23,23,22,22,22,21,22,21,21,20,21,20,20,20,19,20,18,19,18,18,18,17,18,16,18,15,18,15,17,14,17,13,17,12,17,11,17,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,35,8,34,8,33,8,33,7,32,7,31,7,30,7,29,7,28,7,27,7,26,7,25,7,24,7,24,6,24,5,23,5,22,5,21,5,20,5,19,5,19,4,18,4,17,4,17,3,16,3,15,3,14,3,14,2,13,2,13,1,12,1,12,0,11,0,10,0,10,1,10,2,10,3,10,4,10,5,10,6,10,7,9,7,8,7,8,8,7,8,7,9,7,10,7,11,7,12,7,13,6,13,6,14,5,14,4,14,3,14,3,15,2,15,2,16,1,16,0,16
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,35,8,34,8,33,8,32,8,32,9,31,9,30,9,29,9,28,9,28,10,27,10,26,10,25,10,25,11,24,11,23,11,22,11,21,11,20,11,19,11,18,11,17,11,17,12,17,13,16,13,15,13,14,13,13,13,12,13,11,13,11,14,10,14,10,15,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
